Original	Translation(Generated)
colui che ancora non sa amare il prossimo come sé medesimo già cominci a temere i giudicii di Dio. 	Chi non sa ancora amare il prossimo come se stesso comincia a temere i giudici di Dio.
'Santo Agostino fece u· libro ch''avea nome "Agostino Della Città di Dio".'	Santo Augustino ha fatto un libro che si chiamava "Agostino della Città di Dio".
'quello che sopra tutti gli altri perdonasse a'' cittadini, e a cui più sicuramente possiate credere; poi ch''egli fu vostro comandatore.'	quello che prima di tutti gli altri perdonava ai cittadini, a cui sicuramente potete credere; poi egli fu il vostro comandante.
'Allora che il navilio si fue impinto e messo in alto mare per andare diritto per mezo questo trapasso periglioso, l''aira divenne nuvolosa e pioveginosa'	'Allora, mentre la nave si impiccava e si mise in alto per andare a destra per me questo trappola pericoloso, l''ira divenne nuvolosa e pioveggiante'
'Tarentini, i quali erano nati di quegli di Lacedemonia et facta da lloro nobile cittade de'' Greci.'	Tarentini, che erano nati da quei di Lacedemonia e di lacrime nobile cittadino greco.
'E dunque, da che queste cose son così, Catellina, e tu non puoi buonamente qui dimorare, dubiti tu d''andartene in alcuna terra ed usare questa vita fuggendo per li diserti'	E poiché queste cose sono così, Catellina, e tu non puoi abitare qui bene, dubita di andare in nessun paese e usa questa vita per rifugiarti
quando nella matricola si scrivono giurano per Dio, e per Cristo, e per lo Spirito Santo	quando nella matricola si scrivono, giurano per Dio e per Cristo e per lo Spirito Santo
'I vendimenti de'' morti et le presure de'' vivi fece la frode d''uno feroce re.'	Le vendite di morte e la presunzione di vivere ha fatto la frode di un feroce re.
Nella quale battaglia, certo io ebbi sempre ardire di ragionare di pace e sempre mi dolfi che non solamente la pace era schifata,	In quale battaglia, certo, ho sempre arso di ragionare la pace e mi fa sempre male che non solo la pace era schiacciata,
Però che or chi spererebbe quello che eziandio questi che non vogliono ancora credere in Cristo, già veggiono con noi, e perché nol possono negare, stridono colli denti.	Ma che chi spera di ciò che eziano questi che non vogliono ancora credere in Cristo, vede già con noi, e perché non possono negare, stridono colli denti.
'Acciocché quegli, il quale ora per le sue gran reità è feroce e onorevole, egli d''ogni male afflitto e tormentato della impietà verso il mio padre.'	'Attacco a questi, che ora per le sue grandi ricchezze è feroce e onorevole, egli di ogni male afflitto e tormentato dall''empietà verso mio padre.'
'Questi due, volendo contra la voglia del senato dimorare ne l''ufficio del tribunato, furono morti da la plebe, incitandola i padri coscritti.'	'Questi due, volti contro la volontà del senato di dimorare nell''ufficio del tribunato, furono morti dalla gente, incoraggiando i genitori scritti.'
'colui del quale tu tti solevi dolere ch'' era amante della tua donna;'	'colui di cui tu hai fatto il solitario, che era l''amante di tua moglie'
'uno luogo si mandano lancioni;  la quale cosa i cavalieri l'' appellano capo di porco'	un luogo si manda lanciatori; i cavalieri lo chiamano capo di porco
Non voglio, che insuperbischi per lo santo proposito, e voto della verginità vedendo le sue laudi	Non voglio che tu innalzi per il santo proposito e voti della verginità, vedendo le sue lodi
Altressì uno amante chiamando merzé alla sua donna dice parole e ragioni molte, et ella si difende in suo dire.	Un altro amante chiamato merzé alla moglie dice parole e molte ragioni, e lei si difende nel suo dire.
'et nonn ebbe in fastido Cristo cotali parole d''udire.'	e il nonno ebbe in disprezzo Cristo parole di udire.
'e l'' acconciamento a fare grandissime cose, cioè a ttenere pace et amare Idio e ''l proximo, a ffare cittadi, castella e magioni'	'e il parcheggio di fare grandi cose, cioè di mantenere la pace e l''amore dell''Iddio e'' il prossimo, a fare città, castello e magioni'
'da'' monti de'' Romani si feciero nuovi nemici; contra i quali è conbactuto cum diversa ventura: perké nela primaia battaglia, essendo consolo Valerio, MMMD ne moriro de'' Romani;'	i monti dei Romani si sono fatti nuovi nemici; contro i quali è combattuto con diversa avventura: perche in essa la prima battaglia, essendo consolato Valerio, MMMD morì da Romani;
'in vano si domanda chi questo Libro scrivesse, con ciò sia cosa che fedelmente si debba credere che l''Auttore di quello fusse lo Spirito santo.'	'invano si chiede chi questo Libro scrivesse, con questo che fedelmente si deve credere che l''Autor di questo fosse lo Spirito Santo.'
'Il re entrò in uno giardino dietro al suo albergo, quasi come s''egli andasse pensando alla risposta.'	Il re entrò in un giardino dietro al suo albergo, quasi come se stesse pensando alla risposta.
notabile esemplo a ciascuno che si guardasse di fare e di pensar tradigione, il servo, il quale gli avea accusati, fu francato, e fugli donata grande quantità di moneta	notevole esempio a chiunque si guardasse a fare e a pensare alla tradizione, il servo, che gli era accusato, fu liberato e fu dato a lui grande quantità di moneta
molto di maggiore memoria saranno faccendole al re, perciò che nella nostra cittade sempre fue santo e glorioso il nome reale, e sse furono compagni fue il loro nome santissimo;	Molto più ricorderanno il re, che nella nostra città fu sempre santo e glorioso il nome reale, e i seguaci furono il loro santo nome.
Teseo reguardò Achelao fortemente meravigliandose e disse così: "O messer Achelao, io vi prego che voi me diciate in che modo voi perdeste	Teseo si rivolse ad Achelao, che si meravigliò e disse: «O Messer Achelao, vi prego, ditemi come avete perso voi
'ne salìo in su l''argine del fosso, e in su lo steccato, se da alto si potessero difendere, o per alcuna maniera passare oltre e scampare.'	'Salì sull''argilla del fosso, e sopra il tetto, se da alto potessero difendersi, o per nessun modo passare oltre e scampare.'
'Creti?  Certo quand''elli si mosse, elli ti dixe: "O fedele mia donna, fa'' che in mio luogo ti sia racomandato il nostro hoste troiano".'	Certo, quando si muoveva, lui ti disse: "O fedele mia moglie, fa che il nostro ospite troiano ti venga raccomandato al mio posto".
'Ed ecco di subito tutta questa turba degli uccelli si levò a volo dietro all''aquila'	'Ed ecco subito tutta questa folla d''uccelli si alzò a volo dietro l''aquila'
'Andò nel campo de'' Cartaginesi e tutta la legione trasse seco.'	'E'' andato nel campo della Cartaginesi e tutta la lezione si e'' seccata.'
sì convene che lli desse grande avere perché · lasciasse andare via.	'E'' giusto che gli dica di avere il dovere di lasciarlo andare.'
'Non d'' altra forza d'' animo fue ornato Ponzio Aufidiano, romano cavaliere.'	'Non di un'' altra forza di animo fu ornato Ponzio Aufidiano, romano cavaliere.'
Io gli apersi, e quelli fuggitte. E che bisogno è, che lo cuore tuo stia chiuso al tuo sposo Cristo?	'Io gli ho aperto e quelli sono fuggiti, e cosa c''è bisogno che il tuo cuore sia chiuso al tuo sposo Cristo?'
'Alchuno è riccho e gentile, ma lamentasi che vorebbe avere altra moglie che quella ch''egli à.'	Alchuno è ricco e gentile, ma si lamenta di voler avere una moglie diversa da quella che ha.
'Vero è, ma non tine rispondo in questo tempo, perciò che ttu se'' mio servo, o perciò ch'' è tempo feriato, o perciò ch'' io non debbo risponderti'	Vero, ma non ti rispondo in questo tempo, perché tu sia il mio servo, o che sia il tempo della festa, o che io non debba rispondere a te
Or ecco quanto per la sua superbia questo uccello volava in alto.	Ora questo uccello volava in alto per la sua orgoglio.
'Corbio nipote d'' Ortensio menò sua vita più bassa e più viziosa'	Corbio nipote di Ortensio ha mantenuto la sua vita più bassa e più visiva
Vede anche le ragioni del volo degli uccielli e di tutte le cose sa rendere vero giudicio.	Vede anche le ragioni del volo degli uccisi e di tutte le cose sa rendere vero giudizio.
Quando li serpenti invellenava di giorno alcuno Romano, allora iera la maraviglia a vedere come li Psille si combattevano al veleno, ché elli imolavano tutto inazzi della loro salive	Quando i serpenti invecchiavano un giorno nessun romano, allora la meraviglia si sforzava di vedere come i Psille combattevano nel veleno, che essi ingoiavano tutto il loro sale
Gregorio. Non udii mai che egli avesse maestro; ma il dono dello Spirito Santo non si può stringere a legge.	Gregorio. Non ho mai sentito che aveva un insegnante; ma il dono dello Spirito Santo non può essere vincolato alla legge.
