Author,Date,Region,Sentence,Target
Brunetto Latini,1260-61,fior.,"quella guerra ben fatta l' opera perché etc. Et dall' altra parte Aiaces era uno cavaliere franco e prode all' arme, di gran guisa, ma non era pieno di grande senno","Quella guerra fu ben condotta per via delle azioni compiute, eccetera. Dall’altra parte, Aiace era un cavaliere valoroso e coraggioso nelle armi, di grande fama, ma non era molto saggio né dotato di grande intelligenza."
Bono Giamboni,1292,fior.,"crudele, e di tutte le colpe pigli vendetta, come dice la legge, ed a neuno cavaliere perdoni che pecchi.","È severo, e punisce tutte le colpe come prescrive la legge, e non perdona nessun cavaliere che commetta errori."
Valerio Massimo (red. V1,1336,fior.,"Non d' altra forza d' animo fue ornato Ponzio Aufidiano, romano cavaliere.","Ponzio Aufidiano, cavaliere romano, fu dotato dello stesso coraggio d’animo."
Lucano volg. (ed. Marinoni),1330/40,prat.,"Se questo piace a tutti e se 'l tempo hae bisogno d'avere Pompeio per cavaliere e non per compagno, non riterrò più i fati.","Se questo è quello che tutti desiderano e se l'attuale situazione richiede che Pompeo sia un leader e non solo un alleato, allora non cercherò più di oppormi al destino."
Brunetto Latini,1260-61,fior.,"Officio di questa arte pare che sia dicere appostatamente per fare credere, fine è far credere per lo dire.","Il compito di quest’arte sembra essere quello di parlare in modo appropriato per convincere, e di far credere qualcosa attraverso le parole."
Simintendi,1333,tosc.,Ecco e larghi ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare,Ecco che ampie raffiche di pioggia e vento cadono dalle nuvole ormai dissolte; e si potrebbe credere che tutto il cielo stia precipitando nel mare.
Agostino da Scarperia (?),1390,tosc.,"Però che or chi spererebbe quello che eziandio questi che non vogliono ancora credere in Cristo, già veggiono con noi, e perché nol possono negare, stridono colli denti.","Chi potrebbe ancora dubitare di ciò? Anche coloro che non credono in Cristo vedono chiaramente come noi e, non potendo negarlo, provano rabbia e risentimento."
Bono Giamboni,1292,fior.,I vendimenti de' morti et le presure de' vivi fece la frode d'uno feroce re.,La frode di un crudele re fu causata sia dalle vendette dei morti che dalle pressioni dei vivi.
Bart. da San Concordio,1313,tosc.,"Acciocché quegli, il quale ora per le sue gran reità è feroce e onorevole, egli d'ogni male afflitto e tormentato della impietà verso il mio padre.","Affinché colui che ora, per le sue grandi colpe, è crudele e rispettato, venga afflitto e tormentato da ogni male a causa della sua malvagità verso mio padre."
Brunetto Latini,1260-61,fior.,Gli uomini spessamente a stare fermi nella bugia incontra la verità.,"Gli uomini spesso, pur restando fermi nelle menzogne, finiscono per incontrare la verità."
Filippo da Santa Croce,1323,tosc.,"Marco Cornelio ch'era de' dieci compagni, studiosamente  si riservò di parlare all'ultimo.","Marco Cornelio, che era uno dei dieci compagni, prestò attenzione così da parlare per ultimo."
Cavalca,1330,tosc.,cose ch'io sapeva che erano fatte in Italia.,Cose che sapevo essere accadute in Italia.
Valerio Massimo (red. V1,1336,fior.,Corbio nipote d' Ortensio menò sua vita più bassa e più viziosa,"Corbio, nipote di Ortensio, condusse una vita più meschina e più viziosa."
Arte Am. Ovid. (B),1310/13,fior.,"Io mi ricordo (ch. 347) che essendo adirato scapigliai la mia donna. Ohi, quanti dì questa ira mi tolse!","Ricordo che, arrabbiato, misi in disordine i capelli della mia donna. Ah, quanti giorni di vita mi costò quella rabbia!"
Rim. Am. Ovid. (B),1310/13,fior.,colui del quale tu tti solevi dolere ch' era amante della tua donna;,Colui di cui tu solitamente ti lamentavi perché era innamorato della tua donna.
Fatti de' Romani (H+R),1313,fior.,"Ma no sapeano già le nomora di coloro dela congiurazione, ché la donna no nominava già li nomi.","Ma non conoscevano ancora i nomi di quelli della congiura, perché la donna non li rivelava."
Ceffi,1325,fior.,"Creti?  Certo quand'elli si mosse, elli ti dixe: ""O fedele mia donna, fa' che in mio luogo ti sia racomandato il nostro hoste troiano"".","Creti? Con convinzione, prima di partire, ti disse: 'O mia fedele donna, fa’ in modo che, per tua volontà, il nostro ospite troiano sieda al mio posto.'"
Filippo da Santa Croce,1323,tosc.,"E lamentavansi dell'iniquità d'Appio, e ripiagnevano la malavventurata beltà della pulcella e la necessità del padre.","Si lamentavano dell’ingiustizia di Appio, e piangevano di nuovo la sventurata bellezza della giovane e la difficile condizione del padre."
Bart. da San Concordio,1313,tosc.,"la seconda suole talora per la grande provedenzia fare timoroso, e la prima per l'ardire rendere altrui matto.","La seconda (virtù) a volte, per grande saggezza, rende timorosi, mentre la prima (virtù), per coraggio, può far impazzire gli altri."
Valerio Massimo (red. V1,1336,fior.,Andò nel campo de' Cartaginesi e tutta la legione trasse seco.,Si recò nel campo dei Cartaginesi e portò con sé tutta la legione.
Zanobi da Strada,1361,tosc.,"Non lo volle cognoscere per nimico. Qesta è quella, la quale diede ardire al profeta Natan a riprendere con grande autoritade quello re, il quale avea peccato.",Ella non volle riconoscerlo come nemico. Questa è colei che diede coraggio al profeta Natan per rimproverare con grande autorità quel re che aveva peccato.
Frontino volg.,1381,bologn.,"l'armi et insieme con loro passaseno tra li nimici, perçò se alcuno non avesse ardire de questo et sì avevano questo animo.","Armati, passarono insieme tra i nemici; chiunque non avesse un tale coraggio non avrebbe avuto questo spirito."
Giovanni da San Miniato,1415,tosc.,Unde ragionevolemente Iob è interpretato dolente;,Perciò Giobbe viene giustamente interpretato come sofferente;
Filippo da Santa Croce,1323,tosc.,"quello che sopra tutti gli altri perdonasse a' cittadini, e a cui più sicuramente possiate credere; poi ch'egli fu vostro comandatore.","Colui che sopra tutti gli altri perdonò i cittadini, e tra cui più di tutti vi potete fidare dato che fu vostro comandante."
Zanobi da Strada,1361,tosc.,"in vano si domanda chi questo Libro scrivesse, con ciò sia cosa che fedelmente si debba credere che l'Auttore di quello fusse lo Spirito santo.","Invano si chiede chi abbia scritto questo libro, dato che si può credere quasi con certezza che l’autore sia proprio lo Spirito Santo."
Agostino da Scarperia (?),1390,tosc.,"se non fosse usatissima, ciò parrebbe certo molto più incredibile: certo più agevolmente si può credere quello, posto che l'umano spirito al divino, ed il mutabile allo incommutabile","Se non fosse di uso comune, questo fatto sembrerebbe decisamente meno credibile; in effetti, è più facile accettare tale concetto, considerando che lo spirito umano è affine al divino, e ciò che è mutevole si rapporta a ciò che è immutabile."
Brunetto Latini,1260-61,fior.,che prendessero la paga dal camarlingo per loro dispensa et immantenente andassero alla presenzia di messer lo papa per contradiare il passamento de' cavalieri che veniano di Cecilia in Toscana,Che ricevuto il compenso dal carmelengo su loro ordine da soli andassero subito dal papa per opporsi al passaggio dei cavalieri che venivano dalla Sicilia in Toscana.
Bonsignori,1375-77,umbr.-tosc.,"Teseo reguardò Achelao fortemente meravigliandose e disse così: ""O messer Achelao, io vi prego che voi me diciate in che modo voi perdeste","Teseo guardò Achelao con grande meraviglia e disse:  ""O Signor Achelao vi prego di raccontarmi in che modo avete perso"
Giovanni da San Miniato,1415,tosc.,"Io spero in messer Iesù di mandare tosto a voi Timoteo, acciocché io sia d'animo buono","Spero, con l'aiuto di Gesù, di mandare immediatamente Timoteo da voi, affinché io possa essere rassicurato nello spirito."
Brunetto Latini,1260-61,fior.,sanza fallo lo porco salvatico avanza l' uomo d' udire e 'l lupo cerviere del vedere,"Senza dubbio, il cinghiale selvatico supera l’uomo nell’udito, e la lince lo supera nella vista."
Bono Giamboni,1292,fior.,uno luogo si mandano lancioni;  la quale cosa i cavalieri l' appellano capo di porco,In un luogo si preparano i lancieri; i cavalieri chiamano questa formazione 'testa di porco'.
Arte Am. Ovid. (B),1310/13,fior.,tenda le reti a li cerbi e sa bene in quali valle dimori il furioso porco cinghiare.,Stende reti per i cervi e conosce bene le valli dove dimora il feroce cinghiale.
Rim. Am. Ovid. (B),1310/13,fior.,"Ora spaventerai li disidirosi cervi con varie e diverse paure, o lo porco cenghiare caggia in terra passato collo spiedo.","O spaventerai i timorosi cervi in diversi modi, oppure il cinghiale cadrà a terra trafitto dallo spiedo."
Brunetto Latini,1260-61,fior.,"tratta la natura delle cose incorporali le quali non conversano intra lle corpora, sì come Dio e le divine cose.","Parla della natura delle cose immateriali, che non si trovano tra i corpi, come Dio e le verità divine."
Bono Giamboni,1292,fior.,"Dio, per la quale si dispensano et iudicano tutte le cose.","Dio, attraverso il quale tutte le cose provengono e sono giudicate."
Bonsignori,1375-77,umbr.-tosc.,"Unde gli poeti, parlando de lloro, dicono le virtute loro e dicono fabolosamente gli loro difetti, quando alcuna passava l'ordine a lloro deputato","Perciò i poeti, quando parlano di loro, ne esaltano le virtù e, in modo allegorico o fittizio, ne descrivono i difetti, specialmente quando qualcuno di essi superava i limiti stabiliti dal proprio ruolo."
Giovanni dalle Celle (?),1396,tosc.,"e quella cosa, la quale è diricta et onesta, e con virtute, quella sola penso essere lo bene.","Ritengo che solo ciò che è giusto, onesto e virtuoso possa essere considerato il Bene."
Fatti de' Romani (H+R),1313,fior.,"Quando li serpenti invellenava di giorno alcuno Romano, allora iera la maraviglia a vedere come li Psille si combattevano al veleno, ché elli imolavano tutto inazzi della loro salive","Quando i serpenti avvelenavano di giorno qualche Romano, era uno spettacolo straordinario vedere come i Psilli combattevano contro il veleno, sacrificandosi estraendolo con la bocca."
Chiose a Rim. Am. (B),1310-,fior.,"Dice il poeta: oh, che bella cosa è vedere apertamente con gli occhi quando tu glel fai diretro o in culo o in altro","Dice il poeta: oh, che meraviglia è accorgersi chiaramente di quando si viene presi in giro, raggirati o colpiti in altro modo."
Cavalca,1330,tosc.,"ma pur questo fu colpa tua, però che volesti cercare di vedere con gli occhi corporali la cosa invisibile.","Ma questa resta comunque una tua colpa, perché hai voluto cercare di vedere con gli occhi ciò che è invisibile."
Brunetto Latini,1260-61,fior.,"Vero è, ma non tine rispondo in questo tempo, perciò che ttu se' mio servo, o perciò ch' è tempo feriato, o perciò ch' io non debbo risponderti","È vero, ma non ti rispondo ora, o perché sei mio servo, o perché è giorno festivo, oppure perché non sono tenuto a risponderti."
Fatti de' Romani (H+R),1313,fior.,sì convene che lli desse grande avere perché · lasciasse andare via.,Fu dunque necessario dargli una grande ricompensa affinché lo lasciasse andare.
Filippo da Santa Croce,1323,tosc.,"notabile esemplo a ciascuno che si guardasse di fare e di pensar tradigione, il servo, il quale gli avea accusati, fu francato, e fugli donata grande quantità di moneta",Esempio memorabile per chiunque voglia stare attento dal compiere o anche solo pensare un tradimento: il servo che li aveva denunciati fu liberato e ricevette in dono una grande somma di denaro.
Valerio Massimo (red. Va),1336,tosc.,che sarebbe a llui cosa sconcia se ll'avesse commesso sì che lla colpa del servo e 'l gastigamento di Platone avesse meritato egualmente.,"Sarebbe stato per lui disonorevole, se avesse agito in modo tale che la colpa del servo e la punizione di Platone fossero stati giudicati allo stesso modo."
Valerio Massimo (red. V1,1336,fior.,"mostroe massimamente le forze sue, dando lui re a questa cittade ne la quale nacque servo; al quale avvenne lunghissimamente lo imperio tenere","Manifestò pienamente la sua forza, facendo di lui re della città in cui era nato come servo; ed egli riuscì a mantenere il potere per lunghissimo tempo."
Brunetto Latini,1260-61,fior.,l' anima muta la sua forza per la propietade di quello corpo a cui ella si congiunge.,L’anima modifica la sua forza in base alla natura del corpo al quale si unisce.
Fatti de' Romani (H+R),1313,fior.,"per tanto che Lucano il disse, il vi racontiamo. Ivi, quando l'anima di Pompeo ebe sentito la chiarità di lasusso, ella sì cognobe prima in  grande","Poiché lo disse Lucano, ve lo raccontiamo. Lì, quando l’anima di Pompeo percepì la luce dell’alto, allora per la prima volta la riconobbe nella sua grandezza."
Bono Giamboni,1292,fior.,"Sicchè dolore è a udire, quando l' usare l' arme e la fatica ricusano, con grandissimo disonore come pecore essere","Perciò è doloroso sentire quando si rifiutano l’uso delle armi e la fatica, accettando con grande disonore di essere come pecore."
Bono Giamboni,1292,fior.,et nonn ebbe in fastido Cristo cotali parole d'udire.,E Cristo non provò fastidio ad ascoltare parole di quel genere.
Prima catilinaria volg. (red. A),1294,fior.,"la moltitudine de' quali tu ài potuto vedere e riguardare lo studio e poco dinanzi udire le voci, e lle cui mani e lance apena posso ritenere.","La moltitudine dei quali hai potuto osservare l’impegno e poco fa udirne le voci, e le cui mani e lance riesco a stento a trattenere."
T. Alderotti (?),1295,fior.,"udire di belle novelle et odorare di belli fiori, come et quando et quanto si conviene","Ascoltare belle novelle e respirare il profumo dei fiori, nel modo, nel tempo e nella misura più adatta."
Ceffi,1325,fior.,"Ma io disioso colà dove io non posso col corpo andare, con la mente vi volo","Ma io, desideroso di giungervi, là dove il corpo non può arrivare, con la mente vi volo."
Guido da Pisa,1337,tosc.,Ed ecco di subito tutta questa turba degli uccelli si levò a volo dietro all'aquila,"Ed ecco, all’improvviso, tutta quella schiera di uccelli si levò in volo dietro l’aquila."
Grazia di Meo,1343,tosc.,Vede anche le ragioni del volo degli uccielli e di tutte le cose sa rendere vero giudicio.,Comprende anche le leggi del volo degli uccelli e sa dare un giudizio veritiero su ogni cosa.
Zanobi da Strada,1361,tosc.,Or ecco quanto per la sua superbia questo uccello volava in alto.,"Ecco dunque quanto in alto volava questo uccello, spinto dalla sua superbia."
Bono Giamboni,1292,fior.,"quando nella matricola si scrivono giurano per Dio, e per Cristo, e per lo Spirito Santo","Quando si iscrivono nella matricola, giurano nel nome di Dio, di Cristo e dello Spirito Santo."
Bono Giamboni,1292,fior.,"per necessitade i' ridico ke, secondo il comandamento tuo, padre santo Agostino, le battaglie già state nel mondo [..]","Per necessità ripeto che, secondo il tuo comandamento, padre sant’Agostino, le battaglie che già si sono svolte nel mondo [..]"
Brunetto Latini,1294,fior.,"molto di maggiore memoria saranno faccendole al re, perciò che nella nostra cittade sempre fue santo e glorioso il nome reale, e sse furono compagni fue il loro nome santissimo;","Saranno ricordati con ancor maggiore onore per essersi occupati delle faccende del re, poiché nella nostra città il nome reale è sempre stato sacro e glorioso, e se furono suoi compagni, il loro nome fu santissimo."
Cavalca,1308,tosc.,"Non voglio, che insuperbischi per lo santo proposito, e voto della verginità vedendo le sue laudi","Non voglio che si vanti per il santo proposito e il voto di verginità, vedendo le lodi che ne riceve."
Fatti de' Romani (H+R),1313,fior.,"Santo Agostino fece u· libro ch'avea nome ""Agostino Della Città di Dio"".","Sant’Agostino scrisse un libro intitolato ""Agostino Della Città di Dio""."
Brunetto Latini,1260-61,fior.,Verbigrazia: Mercatanti fiorentini passavano in nave per andare oltramare.,Ad esempio: mercanti fiorentini salpavano in nave per recarsi oltremare.
Bono Giamboni,1292,fior.,"Quando averai nel cavaliere i detti segni veduti non andare a grandezza caendo, perchè nelle battaglie sono più utili i forti che i grandi.","Quando avrai riconosciuto quei segni nel cavaliere, non lasciarti ingannare dalla sua grandezza, perché in battaglia contano più il coraggio e la forza d’animo che la statura."
Bono Giamboni,1292,fior.,"e, cosa che anche è più grave, cioè essere preso, o vero fuggire, e suo Comune lasciare vincere.","E, cosa ancor più grave che essere catturato, fuggire e lasciare che il proprio Comune venga sconfitto."
